State,District,Year,Quarter,Count,Amount,S.no
arunachal-pradesh,upper siang district,2018,3,250,743956.1056,376
arunachal-pradesh,tirap district,2018,3,3322,7479257.008,377
arunachal-pradesh,papum pare district,2018,3,43282,101080479.3,378
arunachal-pradesh,kurung kumey district,2018,3,255,303027.4066,379
arunachal-pradesh,anjaw district,2018,3,13,95403.67678,380
arunachal-pradesh,siang district,2018,3,615,2141734.5,381
arunachal-pradesh,lower siang district,2018,3,2625,3045590.882,382
arunachal-pradesh,shi yomi district,2018,3,0,0,383
arunachal-pradesh,kra daadi district,2018,3,436,1606758.408,384
arunachal-pradesh,changlang district,2018,3,10162,20494174.95,385
arunachal-pradesh,pakke kessang district,2018,3,165,305164.8171,386
arunachal-pradesh,dibang valley district,2018,3,29,196466.667,387
arunachal-pradesh,west kameng district,2018,3,17026,48528147.45,388
arunachal-pradesh,east siang district,2018,3,10539,24885270.77,389
arunachal-pradesh,upper subansiri district,2018,3,1601,4223297.614,390
arunachal-pradesh,east kameng district,2018,3,1029,3132863.591,391
arunachal-pradesh,lohit district,2018,3,11595,32702331.66,392
arunachal-pradesh,lepa rada district,2018,3,523,1777602.437,393
arunachal-pradesh,tawang district,2018,3,8715,25733824.99,394
arunachal-pradesh,namsai district,2018,3,5076,10698272.77,395
arunachal-pradesh,lower dibang valley district,2018,4,4227,10951332.39,396
arunachal-pradesh,lower subansiri district,2018,4,3735,8884930.591,397
arunachal-pradesh,longding district,2018,4,6581,22545311.85,398
arunachal-pradesh,west siang district,2018,4,3813,14013986.24,399
arunachal-pradesh,kamle district,2018,4,247,361497.0568,400
arunachal-pradesh,upper siang district,2018,4,1041,2157332.947,401
arunachal-pradesh,tirap district,2018,4,5725,10811742.67,402
arunachal-pradesh,papum pare district,2018,4,55224,154875448.2,403
arunachal-pradesh,kurung kumey district,2018,4,444,759686.7196,404
arunachal-pradesh,anjaw district,2018,4,273,495578.1994,405
arunachal-pradesh,siang district,2018,4,822,2176630.237,406
arunachal-pradesh,lower siang district,2018,4,2883,4533291.201,407
arunachal-pradesh,kra daadi district,2018,4,750,3254327.442,408
arunachal-pradesh,changlang district,2018,4,13950,32343047.41,409
arunachal-pradesh,pakke kessang district,2018,4,297,462143.519,410
arunachal-pradesh,dibang valley district,2018,4,40,97205.28809,411
arunachal-pradesh,west kameng district,2018,4,25439,89194886.84,412
arunachal-pradesh,shi yomi district,2018,4,61,42483.80153,413
arunachal-pradesh,east siang district,2018,4,12893,34272134.34,414
arunachal-pradesh,upper subansiri district,2018,4,2686,8771042.08,415
arunachal-pradesh,east kameng district,2018,4,1750,5936855.71,416
arunachal-pradesh,lohit district,2018,4,14268,40510521.95,417
arunachal-pradesh,lepa rada district,2018,4,932,3023578.189,418
arunachal-pradesh,tawang district,2018,4,11104,35921510.89,419
arunachal-pradesh,namsai district,2018,4,7244,17643523.29,420
arunachal-pradesh,lower dibang valley district,2019,1,6314,13738776.18,421
arunachal-pradesh,lower subansiri district,2019,1,4994,12615032.12,422
arunachal-pradesh,longding district,2019,1,7287,25349462.06,423
arunachal-pradesh,west siang district,2019,1,5921,19426751.3,424
arunachal-pradesh,kamle district,2019,1,391,725807.1059,425
arunachal-pradesh,upper siang district,2019,1,1154,2756678.308,426
arunachal-pradesh,tirap district,2019,1,6877,14075747.84,427
arunachal-pradesh,papum pare district,2019,1,70941,188556716.4,428
arunachal-pradesh,kurung kumey district,2019,1,740,2076644.122,429
