State,District,Year,Quarter,RegisteredUser,Appopens,S.no
arunachal-pradesh,lohit district,2019,2,5485,32550,455
arunachal-pradesh,lepa rada district,2019,2,903,4196,456
arunachal-pradesh,lower dibang valley district,2019,2,2842,12669,457
arunachal-pradesh,longding district,2019,2,1420,13256,458
arunachal-pradesh,west siang district,2019,2,3393,15972,459
arunachal-pradesh,kamle district,2019,2,212,972,460
arunachal-pradesh,upper siang district,2019,2,1372,2710,461
arunachal-pradesh,kurung kumey district,2019,2,481,2171,462
arunachal-pradesh,siang district,2019,2,831,3209,463
arunachal-pradesh,kra daadi district,2019,2,440,2639,464
arunachal-pradesh,changlang district,2019,2,6884,37725,465
arunachal-pradesh,pakke kessang district,2019,2,211,1237,466
arunachal-pradesh,east siang district,2019,2,7319,34596,467
arunachal-pradesh,upper subansiri district,2019,2,2355,9043,468
arunachal-pradesh,tawang district,2019,2,5908,32103,469
arunachal-pradesh,namsai district,2019,2,3914,18627,470
